# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
1,1123,2.833 us,3 B,01,   IN packet,69 98 30
1,1124,45.583 us,67 B,01,   DATA1 packet,4B 97 0A 82 0A 88 0A 84 0A 78 0A 75 0A 7E 0A 7D 0A 71 0A 79 0A 6B 0A 77…
1,1125,1.500 us,1 B,01,   ACK packet,D2
0,1126,50.916 us,64 B,01,IN txn,61 0A 64 0A 6C 0A 5E 0A 62 0A 65 0A 6B 0A 5F 0A 63 0A 4F 0A 57 0A 63 0A…
1,1127,2.833 us,3 B,01,   IN packet,69 98 30
1,1128,45.500 us,67 B,01,   DATA0 packet,C3 61 0A 64 0A 6C 0A 5E 0A 62 0A 65 0A 6B 0A 5F 0A 63 0A 4F 0A 57 0A 63…
1,1129,1.500 us,1 B,01,   ACK packet,D2
0,1130,50.916 us,64 B,01,IN txn,6F 0A 69 0A 72 0A 75 0A 6D 0A 77 0A 77 0A 76 0A 79 0A 69 0A 7C 0A 72 0A…
1,1131,2.833 us,3 B,01,   IN packet,69 98 30
1,1132,45.500 us,67 B,01,   DATA1 packet,4B 6F 0A 69 0A 72 0A 75 0A 6D 0A 77 0A 77 0A 76 0A 79 0A 69 0A 7C 0A 72…
1,1133,1.500 us,1 B,01,   ACK packet,D2
0,1134,51.166 us,64 B,01,IN txn,74 0A 77 0A 7D 0A 77 0A 7E 0A 7E 0A 81 0A 7B 0A 82 0A 82 0A 7F 0A 81 0A…
1,1135,2.833 us,3 B,01,   IN packet,69 98 30
1,1136,45.729 us,67 B,01,   DATA0 packet,C3 74 0A 77 0A 7D 0A 77 0A 7E 0A 7E 0A 81 0A 7B 0A 82 0A 82 0A 7F 0A 81…
1,1137,1.500 us,1 B,01,   ACK packet,D2
0,1138,51.000 us,64 B,01,IN txn,F4 09 F5 09 ED 09 ED 09 E2 09 E1 09 E9 09 E0 09 D4 09 DA 09 D8 09 D4 09…
1,1139,2.833 us,3 B,01,   IN packet,69 98 30
1,1140,45.583 us,67 B,01,   DATA1 packet,4B F4 09 F5 09 ED 09 ED 09 E2 09 E1 09 E9 09 E0 09 D4 09 DA 09 D8 09 D4…
1,1141,1.500 us,1 B,01,   ACK packet,D2
0,1142,2.833 us,,,[1 SOF],[Frame: 1886] 
0,1143,51.750 us,64 B,01,IN txn,F7 09 F8 09 E1 09 FE 09 F8 09 F2 09 01 0A F5 09 FC 09 FB 09 04 0A FA 09…
1,1144,2.833 us,3 B,01,   IN packet,69 98 30
1,1145,46.333 us,67 B,01,   DATA0 packet,C3 F7 09 F8 09 E1 09 FE 09 F8 09 F2 09 01 0A F5 09 FC 09 FB 09 04 0A FA…
1,1146,1.500 us,1 B,01,   ACK packet,D2
0,1147,50.895 us,64 B,01,IN txn,05 0A 1D 0A 20 0A 26 0A 20 0A 2F 0A 33 0A 42 0A 51 0A 4E 0A 53 0A 5F 0A…
1,1148,2.833 us,3 B,01,   IN packet,69 98 30
1,1149,45.500 us,67 B,01,   DATA1 packet,4B 05 0A 1D 0A 20 0A 26 0A 20 0A 2F 0A 33 0A 42 0A 51 0A 4E 0A 53 0A 5F…
1,1150,1.479 us,1 B,01,   ACK packet,D2
0,1151,50.895 us,64 B,01,IN txn,C4 0A CE 0A BE 0A C2 0A DA 0A D9 0A E3 0A DE 0A E5 0A EE 0A F2 0A F7 0A…
1,1152,2.812 us,3 B,01,   IN packet,69 98 30
1,1153,45.479 us,67 B,01,   DATA0 packet,C3 C4 0A CE 0A BE 0A C2 0A DA 0A D9 0A E3 0A DE 0A E5 0A EE 0A F2 0A F7…
1,1154,1.479 us,1 B,01,   ACK packet,D2
0,1155,51.145 us,64 B,01,IN txn,9E 0B 97 0B A7 0B BA 0B BA 0B C3 0B C0 0B C5 0B D5 0B DB 0B D4 0B DB 0B…
1,1156,2.812 us,3 B,01,   IN packet,69 98 30
1,1157,45.750 us,67 B,01,   DATA1 packet,4B 9E 0B 97 0B A7 0B BA 0B BA 0B C3 0B C0 0B C5 0B D5 0B DB 0B D4 0B DB…
1,1158,1.479 us,1 B,01,   ACK packet,D2
0,1159,51.062 us,64 B,01,IN txn,7F 0C 86 0C 91 0C 98 0C 94 0C A0 0C A4 0C AA 0C A5 0C AA 0C B2 0C B3 0C…
1,1160,2.812 us,3 B,01,   IN packet,69 98 30
1,1161,45.666 us,67 B,01,   DATA0 packet,C3 7F 0C 86 0C 91 0C 98 0C 94 0C A0 0C A4 0C AA 0C A5 0C AA 0C B2 0C B3…
1,1162,1.479 us,1 B,01,   ACK packet,D2
0,1163,50.979 us,64 B,01,IN txn,59 0D 56 0D 6E 0D 65 0D 76 0D 6D 0D 85 0D 90 0D 94 0D A9 0D AA 0D A7 0D…
1,1164,2.812 us,3 B,01,   IN packet,69 98 30
1,1165,45.583 us,67 B,01,   DATA1 packet,4B 59 0D 56 0D 6E 0D 65 0D 76 0D 6D 0D 85 0D 90 0D 94 0D A9 0D AA 0D A7…
1,1166,1.479 us,1 B,01,   ACK packet,D2
0,1167,51.145 us,64 B,01,IN txn,F7 0D ED 0D EC 0D FA 0D FE 0D FD 0D 0D 0E 12 0E 06 0E 12 0E 1C 0E 20 0E…
1,1168,2.812 us,3 B,01,   IN packet,69 98 30
1,1169,45.750 us,67 B,01,   DATA0 packet,C3 F7 0D ED 0D EC 0D FA 0D FE 0D FD 0D 0D 0E 12 0E 06 0E 12 0E 1C 0E 20…
1,1170,1.479 us,1 B,01,   ACK packet,D2
0,1171,51.729 us,64 B,01,IN txn,1E 0F 31 0F 31 0F 40 0F 4F 0F 4A 0F 49 0F 4B 0F 52 0F 5C 0F 60 0F 69 0F…
1,1172,2.812 us,3 B,01,   IN packet,69 98 30
1,1173,46.312 us,67 B,01,   DATA1 packet,4B 1E 0F 31 0F 31 0F 40 0F 4F 0F 4A 0F 49 0F 4B 0F 52 0F 5C 0F 60 0F 69…
1,1174,1.479 us,1 B,01,   ACK packet,D2
0,1175,51.062 us,64 B,01,IN txn,FD 0F 00 10 06 10 11 10 01 10 08 10 01 10 FA 0F 0B 10 0A 10 0D 10 10 10…
1,1176,2.812 us,3 B,01,   IN packet,69 98 30
1,1177,45.666 us,67 B,01,   DATA0 packet,C3 FD 0F 00 10 06 10 11 10 01 10 08 10 01 10 FA 0F 0B 10 0A 10 0D 10 10…
1,1178,1.479 us,1 B,01,   ACK packet,D2
0,1179,50.895 us,64 B,01,IN txn,81 10 84 10 87 10 92 10 8B 10 9B 10 9E 10 A3 10 AC 10 9A 10 9D 10 A5 10…
1,1180,2.812 us,3 B,01,   IN packet,69 98 30
1,1181,45.500 us,67 B,01,   DATA1 packet,4B 81 10 84 10 87 10 92 10 8B 10 9B 10 9E 10 A3 10 AC 10 9A 10 9D 10 A5…
1,1182,1.500 us,1 B,01,   ACK packet,D2
0,1183,51.083 us,64 B,01,IN txn,F3 10 F5 10 0A 11 03 11 0F 11 2B 11 31 11 3B 11 4D 11 4F 11 5F 11 73 11…
1,1184,2.833 us,3 B,01,   IN packet,69 98 30
1,1185,45.666 us,67 B,01,   DATA0 packet,C3 F3 10 F5 10 0A 11 03 11 0F 11 2B 11 31 11 3B 11 4D 11 4F 11 5F 11 73…
1,1186,1.500 us,1 B,01,   ACK packet,D2
0,1187,51.333 us,64 B,01,IN txn,F4 11 EE 11 F6 11 F7 11 EF 11 FA 11 F7 11 01 12 00 12 04 12 07 12 F4 11…
1,1188,2.833 us,3 B,01,   IN packet,69 98 30
1,1189,45.916 us,67 B,01,   DATA1 packet,4B F4 11 EE 11 F6 11 F7 11 EF 11 FA 11 F7 11 01 12 00 12 04 12 07 12 F4…
1,1190,1.500 us,1 B,01,   ACK packet,D2
0,1191,51.416 us,64 B,01,IN txn,01 12 0A 12 08 12 0E 12 14 12 05 12 0B 12 09 12 FD 11 0F 12 FC 11 F7 11…
1,1192,2.833 us,3 B,01,   IN packet,69 98 30
1,1193,46.000 us,67 B,01,   DATA0 packet,C3 01 12 0A 12 08 12 0E 12 14 12 05 12 0B 12 09 12 FD 11 0F 12 FC 11 F7…
1,1194,1.500 us,1 B,01,   ACK packet,D2
0,1195,51.416 us,64 B,01,IN txn,FD 11 F9 11 06 12 07 12 FC 11 14 12 07 12 05 12 02 12 05 12 03 12 FB 11…
1,1196,2.833 us,3 B,01,   IN packet,69 98 30
1,1197,45.979 us,67 B,01,   DATA1 packet,4B FD 11 F9 11 06 12 07 12 FC 11 14 12 07 12 05 12 02 12 05 12 03 12 FB…
1,1198,1.500 us,1 B,01,   ACK packet,D2
0,1199,50.916 us,64 B,01,IN txn,C4 11 C4 11 B6 11 C1 11 C6 11 BE 11 BC 11 B3 11 B6 11 AC 11 C9 11 C6 11…
1,1200,2.833 us,3 B,01,   IN packet,69 98 30
1,1201,45.500 us,67 B,01,   DATA0 packet,C3 C4 11 C4 11 B6 11 C1 11 C6 11 BE 11 BC 11 B3 11 B6 11 AC 11 C9 11 C6…
1,1202,1.500 us,1 B,01,   ACK packet,D2
0,1203,51.000 us,64 B,01,IN txn,A2 11 A2 11 9A 11 91 11 9B 11 9E 11 A6 11 A2 11 8A 11 85 11 87 11 96 11…
1,1204,2.833 us,3 B,01,   IN packet,69 98 30
1,1205,45.583 us,67 B,01,   DATA1 packet,4B A2 11 A2 11 9A 11 91 11 9B 11 9E 11 A6 11 A2 11 8A 11 85 11 87 11 96…
1,1206,1.500 us,1 B,01,   ACK packet,D2
0,1207,3.000 us,,,[1 SOF],[Frame: 1887] 
0,1208,51.000 us,64 B,01,IN txn,58 11 4C 11 4D 11 59 11 49 11 50 11 53 11 52 11 56 11 60 11 71 11 6A 11…
1,1209,2.833 us,3 B,01,   IN packet,69 98 30
1,1210,45.583 us,67 B,01,   DATA0 packet,C3 58 11 4C 11 4D 11 59 11 49 11 50 11 53 11 52 11 56 11 60 11 71 11 6A…
1,1211,1.500 us,1 B,01,   ACK packet,D2
0,1212,51.000 us,64 B,01,IN txn,41 11 3B 11 32 11 25 11 14 11 12 11 0D 11 F4 10 F7 10 FB 10 E4 10 DC 10…
1,1213,2.833 us,3 B,01,   IN packet,69 98 30
1,1214,45.583 us,67 B,01,   DATA1 packet,4B 41 11 3B 11 32 11 25 11 14 11 12 11 0D 11 F4 10 F7 10 FB 10 E4 10 DC…
1,1215,1.500 us,1 B,01,   ACK packet,D2
0,1216,51.166 us,64 B,01,IN txn,87 10 79 10 8D 10 7E 10 77 10 7E 10 83 10 7E 10 81 10 74 10 73 10 6B 10…
1,1217,2.833 us,3 B,01,   IN packet,69 98 30
1,1218,45.750 us,67 B,01,   DATA0 packet,C3 87 10 79 10 8D 10 7E 10 77 10 7E 10 83 10 7E 10 81 10 74 10 73 10 6B…
1,1219,1.500 us,1 B,01,   ACK packet,D2
0,1220,51.000 us,64 B,01,IN txn,A8 10 B5 10 C0 10 BD 10 DF 10 EE 10 FB 10 F8 10 04 11 FE 10 03 11 0A 11…
1,1221,2.833 us,3 B,01,   IN packet,69 98 30
1,1222,45.583 us,67 B,01,   DATA1 packet,4B A8 10 B5 10 C0 10 BD 10 DF 10 EE 10 FB 10 F8 10 04 11 FE 10 03 11 0A…
1,1223,1.500 us,1 B,01,   ACK packet,D2
0,1224,51.083 us,64 B,01,IN txn,5D 11 61 11 6E 11 6D 11 7E 11 84 11 81 11 73 11 6F 11 6A 11 64 11 62 11…
1,1225,2.833 us,3 B,01,   IN packet,69 98 30
1,1226,45.666 us,67 B,01,   DATA0 packet,C3 5D 11 61 11 6E 11 6D 11 7E 11 84 11 81 11 73 11 6F 11 6A 11 64 11 62…
1,1227,1.500 us,1 B,01,   ACK packet,D2
0,1228,51.250 us,64 B,01,IN txn,0D 11 FE 10 F2 10 E3 10 E8 10 E6 10 CE 10 BE 10 B4 10 A8 10 8D 10 71 10…
1,1229,2.833 us,3 B,01,   IN packet,69 98 30
1,1230,45.833 us,67 B,01,   DATA1 packet,4B 0D 11 FE 10 F2 10 E3 10 E8 10 E6 10 CE 10 BE 10 B4 10 A8 10 8D 10 71…
1,1231,1.500 us,1 B,01,   ACK packet,D2
0,1232,1.002.958 ms,,,[2 SOF],[Frames: 1888 - 1889] 
0,1233,50.791 us,64 B,01,OUT txn,C1 C0 00 00 04 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,1234,2.833 us,3 B,01,   OUT packet,E1 98 30
1,1235,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 04 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,1236,1.500 us,1 B,01,   ACK packet,D2
0,1237,105.083 us,64 B,01,IN txn   [3 POLL],C1 C0 00 00 23 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,1238,43.791 us,,01,   [3 IN-NAK],
1,1239,2.833 us,3 B,01,   IN packet,69 98 30
1,1240,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 23 00 00 00 90 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,1241,1.500 us,1 B,01,   ACK packet,D2
0,1242,50.854 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,1243,2.833 us,3 B,01,   OUT packet,E1 98 30
1,1244,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1245,1.479 us,1 B,01,   ACK packet,D2
0,1246,2.833 us,,,[1 SOF],[Frame: 1890] 
0,1247,534.062 us,64 B,01,IN txn   [32 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,1248,473.354 us,,01,   [32 IN-NAK],
1,1249,2.812 us,3 B,01,   IN packet,69 98 30
1,1250,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1251,1.479 us,1 B,01,   ACK packet,D2
0,1252,50.750 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,1253,2.812 us,3 B,01,   OUT packet,E1 98 30
1,1254,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1255,1.500 us,1 B,01,   ACK packet,D2
0,1256,2.833 us,,,[1 SOF],[Frame: 1891] 
0,1257,631.395 us,64 B,01,IN txn   [34 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,1258,571.250 us,,01,   [34 IN-NAK],
1,1259,2.833 us,3 B,01,   IN packet,69 98 30
1,1260,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1261,1.500 us,1 B,01,   ACK packet,D2
0,1262,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,1263,2.833 us,3 B,01,   OUT packet,E1 98 30
1,1264,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1265,1.500 us,1 B,01,   ACK packet,D2
0,1266,2.833 us,,,[1 SOF],[Frame: 1892] 
0,1267,635.062 us,64 B,01,IN txn   [34 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,1268,574.354 us,,01,   [34 IN-NAK],
1,1269,2.833 us,3 B,01,   IN packet,69 98 30
1,1270,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1271,1.479 us,1 B,01,   ACK packet,D2
0,1272,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,1273,2.812 us,3 B,01,   OUT packet,E1 98 30
1,1274,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1275,1.500 us,1 B,01,   ACK packet,D2
0,1276,2.833 us,,,[1 SOF],[Frame: 1893] 
0,1277,638.395 us,64 B,01,IN txn   [33 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,1278,578.500 us,,01,   [33 IN-NAK],
1,1279,2.833 us,3 B,01,   IN packet,69 98 30
1,1280,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,1281,1.500 us,1 B,01,   ACK packet,D2
0,1282,1.002.895 ms,,,[2 SOF],[Frames: 1894 - 1895] 
0,1283,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 10 10 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,1284,2.833 us,3 B,01,   OUT packet,E1 98 30
1,1285,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 00 10 10 00 00 00 00 00 00 00 00 00 00 00 00…
1,1286,1.500 us,1 B,01,   ACK packet,D2
0,1287,107.015.145 ms,,,[108 SOF],[Frames: 1896 - 2003] 
0,1288,108.392.062 ms,64 B,01,IN txn   [6969 POLL],C1 C0 00 00 21 00 00 00 00 10 10 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,1289,108.326.000 ms,,01,   [6969 IN-NAK],
1,1290,2.833 us,3 B,01,   IN packet,69 98 30
1,1291,45.750 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 00 10 10 00 00 00 00 00 00 00 00 00 00 00 00…
1,1292,1.500 us,1 B,01,   ACK packet,D2
0,1293,51.000 us,64 B,01,IN txn,51 0E 24 0E 03 0E F0 0D CE 0D B1 0D 84 0D 80 0D 66 0D 42 0D 31 0D 13 0D…
1,1294,2.833 us,3 B,01,   IN packet,69 98 30
1,1295,45.583 us,67 B,01,   DATA0 packet,C3 51 0E 24 0E 03 0E F0 0D CE 0D B1 0D 84 0D 80 0D 66 0D 42 0D 31 0D 13…
1,1296,1.500 us,1 B,01,   ACK packet,D2
0,1297,51.083 us,64 B,01,IN txn,F6 0B EF 0B DF 0B D0 0B CC 0B C2 0B C2 0B B0 0B B8 0B A7 0B 90 0B 96 0B…
1,1298,2.833 us,3 B,01,   IN packet,69 98 30
1,1299,45.666 us,67 B,01,   DATA1 packet,4B F6 0B EF 0B DF 0B D0 0B CC 0B C2 0B C2 0B B0 0B B8 0B A7 0B 90 0B 96…
1,1300,1.500 us,1 B,01,   ACK packet,D2
0,1301,51.000 us,64 B,01,IN txn,19 0B 21 0B 18 0B 28 0B 13 0B 1E 0B 20 0B 0F 0B 0F 0B 11 0B 0B 0B 0D 0B…
1,1302,2.833 us,3 B,01,   IN packet,69 98 30
1,1303,45.583 us,67 B,01,   DATA0 packet,C3 19 0B 21 0B 18 0B 28 0B 13 0B 1E 0B 20 0B 0F 0B 0F 0B 11 0B 0B 0B 0D…
1,1304,1.500 us,1 B,01,   ACK packet,D2
0,1305,51.000 us,64 B,01,IN txn,CB 0A C2 0A C8 0A C8 0A C4 0A B5 0A BC 0A BD 0A BB 0A B9 0A CB 0A C1 0A…
1,1306,2.833 us,3 B,01,   IN packet,69 98 30
1,1307,45.583 us,67 B,01,   DATA1 packet,4B CB 0A C2 0A C8 0A C8 0A C4 0A B5 0A BC 0A BD 0A BB 0A B9 0A CB 0A C1…
1,1308,1.500 us,1 B,01,   ACK packet,D2
0,1309,50.916 us,64 B,01,IN txn,BB 0A C2 0A C6 0A C5 0A BC 0A C7 0A C4 0A BD 0A C5 0A BE 0A C8 0A C6 0A…
1,1310,2.833 us,3 B,01,   IN packet,69 98 30
1,1311,45.500 us,67 B,01,   DATA0 packet,C3 BB 0A C2 0A C6 0A C5 0A BC 0A C7 0A C4 0A BD 0A C5 0A BE 0A C8 0A C6…
1,1312,1.500 us,1 B,01,   ACK packet,D2
0,1313,51.000 us,64 B,01,IN txn,90 0A 7C 0A 89 0A 86 0A 75 0A 76 0A 7F 0A 79 0A 6C 0A 75 0A 6F 0A 73 0A…
1,1314,2.833 us,3 B,01,   IN packet,69 98 30
1,1315,45.583 us,67 B,01,   DATA1 packet,4B 90 0A 7C 0A 89 0A 86 0A 75 0A 76 0A 7F 0A 79 0A 6C 0A 75 0A 6F 0A 73…
1,1316,1.500 us,1 B,01,   ACK packet,D2
0,1317,50.916 us,64 B,01,IN txn,61 0A 6B 0A 67 0A 5B 0A 64 0A 68 0A 67 0A 63 0A 5F 0A 4B 0A 57 0A 64 0A…
1,1318,2.833 us,3 B,01,   IN packet,69 98 30
1,1319,45.500 us,67 B,01,   DATA0 packet,C3 61 0A 6B 0A 67 0A 5B 0A 64 0A 68 0A 67 0A 63 0A 5F 0A 4B 0A 57 0A 64…
1,1320,1.500 us,1 B,01,   ACK packet,D2
0,1321,2.916 us,,,[1 SOF],[Frame: 2004] 
0,1322,51.000 us,64 B,01,IN txn,72 0A 66 0A 74 0A 6D 0A 7A 0A 71 0A 74 0A 7B 0A 76 0A 64 0A 77 0A 72 0A…
1,1323,2.833 us,3 B,01,   IN packet,69 98 30
1,1324,45.583 us,67 B,01,   DATA1 packet,4B 72 0A 66 0A 74 0A 6D 0A 7A 0A 71 0A 74 0A 7B 0A 76 0A 64 0A 77 0A 72…
1,1325,1.500 us,1 B,01,   ACK packet,D2
0,1326,51.166 us,64 B,01,IN txn,74 0A 79 0A 7A 0A 7A 0A 7C 0A 7C 0A 81 0A 7E 0A 7E 0A 84 0A 85 0A 7B 0A…
1,1327,2.833 us,3 B,01,   IN packet,69 98 30
1,1328,45.750 us,67 B,01,   DATA0 packet,C3 74 0A 79 0A 7A 0A 7A 0A 7C 0A 7C 0A 81 0A 7E 0A 7E 0A 84 0A 85 0A 7B…
1,1329,1.500 us,1 B,01,   ACK packet,D2
0,1330,50.979 us,64 B,01,IN txn,F5 09 F6 09 F1 09 EF 09 E5 09 E3 09 EA 09 DC 09 D0 09 D3 09 D6 09 D8 09…
1,1331,2.833 us,3 B,01,   IN packet,69 98 30
1,1332,45.583 us,67 B,01,   DATA1 packet,4B F5 09 F6 09 F1 09 EF 09 E5 09 E3 09 EA 09 DC 09 D0 09 D3 09 D6 09 D8…
1,1333,1.479 us,1 B,01,   ACK packet,D2
0,1334,51.729 us,64 B,01,IN txn,F2 09 F8 09 ED 09 FB 09 F7 09 EE 09 F9 09 F3 09 FB 09 FA 09 03 0A F9 09…
1,1335,2.812 us,3 B,01,   IN packet,69 98 30
1,1336,46.333 us,67 B,01,   DATA0 packet,C3 F2 09 F8 09 ED 09 FB 09 F7 09 EE 09 F9 09 F3 09 FB 09 FA 09 03 0A F9…
1,1337,1.479 us,1 B,01,   ACK packet,D2
0,1338,51.062 us,64 B,01,IN txn,07 0A 1D 0A 20 0A 2A 0A 25 0A 32 0A 32 0A 49 0A 50 0A 50 0A 52 0A 5E 0A…
1,1339,2.812 us,3 B,01,   IN packet,69 98 30
1,1340,45.666 us,67 B,01,   DATA1 packet,4B 07 0A 1D 0A 20 0A 2A 0A 25 0A 32 0A 32 0A 49 0A 50 0A 50 0A 52 0A 5E…
1,1341,1.479 us,1 B,01,   ACK packet,D2
0,1342,50.895 us,64 B,01,IN txn,C3 0A CF 0A BE 0A C8 0A DC 0A D3 0A E3 0A E5 0A ED 0A F3 0A F1 0A F9 0A…
1,1343,2.812 us,3 B,01,   IN packet,69 98 30
1,1344,45.500 us,67 B,01,   DATA0 packet,C3 C3 0A CF 0A BE 0A C8 0A DC 0A D3 0A E3 0A E5 0A ED 0A F3 0A F1 0A F9…
1,1345,1.479 us,1 B,01,   ACK packet,D2
0,1346,51.145 us,64 B,01,IN txn,9F 0B A1 0B A6 0B B4 0B B3 0B BE 0B C7 0B CD 0B DB 0B D6 0B DA 0B E1 0B…
1,1347,2.812 us,3 B,01,   IN packet,69 98 30
1,1348,45.750 us,67 B,01,   DATA1 packet,4B 9F 0B A1 0B A6 0B B4 0B B3 0B BE 0B C7 0B CD 0B DB 0B D6 0B DA 0B E1…
1,1349,1.479 us,1 B,01,   ACK packet,D2
0,1350,51.062 us,64 B,01,IN txn,86 0C 83 0C 92 0C 99 0C 98 0C 9C 0C A7 0C AB 0C A5 0C AA 0C B0 0C B5 0C…
1,1351,2.812 us,3 B,01,   IN packet,69 98 30
1,1352,45.666 us,67 B,01,   DATA0 packet,C3 86 0C 83 0C 92 0C 99 0C 98 0C 9C 0C A7 0C AB 0C A5 0C AA 0C B0 0C B5…
1,1353,1.479 us,1 B,01,   ACK packet,D2
0,1354,51.062 us,64 B,01,IN txn,55 0D 5A 0D 6E 0D 60 0D 77 0D 73 0D 86 0D 95 0D 93 0D 9E 0D A9 0D A7 0D…
1,1355,2.812 us,3 B,01,   IN packet,69 98 30
1,1356,45.666 us,67 B,01,   DATA1 packet,4B 55 0D 5A 0D 6E 0D 60 0D 77 0D 73 0D 86 0D 95 0D 93 0D 9E 0D A9 0D A7…
1,1357,1.479 us,1 B,01,   ACK packet,D2
0,1358,51.229 us,64 B,01,IN txn,F2 0D EC 0D EE 0D FD 0D F7 0D FE 0D 11 0E 16 0E 0A 0E 04 0E 20 0E 24 0E…
1,1359,2.812 us,3 B,01,   IN packet,69 98 30
1,1360,45.833 us,67 B,01,   DATA0 packet,C3 F2 0D EC 0D EE 0D FD 0D F7 0D FE 0D 11 0E 16 0E 0A 0E 04 0E 20 0E 24…
1,1361,1.479 us,1 B,01,   ACK packet,D2
0,1362,51.729 us,64 B,01,IN txn,1E 0F 26 0F 32 0F 45 0F 47 0F 52 0F 4A 0F 4B 0F 50 0F 5E 0F 60 0F 65 0F…
1,1363,2.812 us,3 B,01,   IN packet,69 98 30
1,1364,46.312 us,67 B,01,   DATA1 packet,4B 1E 0F 26 0F 32 0F 45 0F 47 0F 52 0F 4A 0F 4B 0F 50 0F 5E 0F 60 0F 65…
1,1365,1.500 us,1 B,01,   ACK packet,D2
0,1366,51.250 us,64 B,01,IN txn,FD 0F FB 0F 00 10 0C 10 04 10 06 10 08 10 F9 0F 06 10 06 10 0E 10 12 10…
1,1367,2.833 us,3 B,01,   IN packet,69 98 30
1,1368,45.833 us,67 B,01,   DATA0 packet,C3 FD 0F FB 0F 00 10 0C 10 04 10 06 10 08 10 F9 0F 06 10 06 10 0E 10 12…
1,1369,1.500 us,1 B,01,   ACK packet,D2
0,1370,51.000 us,64 B,01,IN txn,7E 10 81 10 88 10 8E 10 89 10 9B 10 A6 10 A5 10 A3 10 95 10 AE 10 AD 10…
1,1371,2.833 us,3 B,01,   IN packet,69 98 30
1,1372,45.583 us,67 B,01,   DATA1 packet,4B 7E 10 81 10 88 10 8E 10 89 10 9B 10 A6 10 A5 10 A3 10 95 10 AE 10 AD…
1,1373,1.500 us,1 B,01,   ACK packet,D2
0,1374,50.916 us,64 B,01,IN txn,F7 10 FB 10 06 11 0D 11 17 11 1C 11 2B 11 38 11 55 11 52 11 66 11 70 11…
1,1375,2.833 us,3 B,01,   IN packet,69 98 30
1,1376,45.500 us,67 B,01,   DATA0 packet,C3 F7 10 FB 10 06 11 0D 11 17 11 1C 11 2B 11 38 11 55 11 52 11 66 11 70…
1,1377,1.500 us,1 B,01,   ACK packet,D2
0,1378,51.500 us,64 B,01,IN txn,EF 11 E6 11 F9 11 F8 11 EE 11 FB 11 F5 11 F8 11 FF 11 0B 12 09 12 F7 11…
