# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
0,97,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,98,2.833 us,3 B,01,   OUT packet,E1 98 30
1,99,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,100,1.500 us,1 B,01,   ACK packet,D2
0,101,2.812 us,,,[1 SOF],[Frame: 875] 
0,102,562.562 us,64 B,01,IN txn   [27 POLL],C1 C0 00 00 21 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 05…
1,103,487.583 us,,01,   [27 IN-NAK],
1,104,2.812 us,3 B,01,   IN packet,69 98 30
1,105,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,106,1.479 us,1 B,01,   ACK packet,D2
0,107,2.833 us,,,[1 SOF],[Frame: 876] 
0,108,50.854 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,109,2.833 us,3 B,01,   OUT packet,E1 98 30
1,110,45.583 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,111,1.479 us,1 B,01,   ACK packet,D2
0,112,584.312 us,64 B,01,IN txn   [31 POLL],C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 04…
1,113,525.937 us,,01,   [31 IN-NAK],
1,114,2.812 us,3 B,01,   IN packet,69 98 30
1,115,45.500 us,67 B,01,   DATA1 packet,4B C1 C0 00 00 21 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,116,1.479 us,1 B,01,   ACK packet,D2
0,117,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,118,2.812 us,3 B,01,   OUT packet,E1 98 30
1,119,45.479 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 01 01 18 00 00 00 00 00 00 00 00 00 00 00 00…
1,120,1.500 us,1 B,01,   ACK packet,D2
0,121,2.833 us,,,[1 SOF],[Frame: 877] 
