# CIE standard D50 illuminator, approximating light at the horizon at 5nm resolution
380 24.50
385 27.20
390 29.80
395 39.60
400 49.30
405 52.90
410 56.50
415 58.30
420 60.00
425 58.90
430 57.80
435 66.30
440 74.80
445 81.00
450 87.20
455 88.90
460 90.60
465 91.00
470 91.40
475 93.30
480 95.20
485 93.60
490 92.00
495 93.90
500 95.70
505 96.20
510 96.60
515 96.90
520 97.10
525 99.60
530 102.10
535 101.50
540 100.80
545 101.60
550 102.30
555 101.20
560 100.00
565 98.90
570 97.70
575 98.30
580 98.90
585 96.20
590 93.50
595 95.60
600 97.70
605 98.50
610 99.30
615 99.20
620 99.00
625 97.40
630 95.70
635 97.30
640 98.80
645 97.30
650 95.70
655 97.00
660 98.20
665 100.60
670 103.00
675 101.10
680 99.10
685 93.30
690 87.40
695 89.50
700 91.60
705 92.30
710 92.90
715 84.90
720 76.80
725 81.70
730 86.60
735 89.60
740 92.60
745 85.40
750 78.20
755 68.00
760 57.70
765 70.30
770 82.90
775 80.60
780 78.30
